game_key,person_key,slot,hit,lineup_position,age,yoe,weight,height,bmi,bats,throws,b_prev_ba_scaled,b_career_ba_scaled,p_age,p_weight,p_height,p_bmi,p_throws
DET201908070,mccaj001,5,1,mid,29,5,220,75,0.3409090909,R,R,22.014051522,23.96,25,200,74,0.37,L
SEA201907270,santd002,2,0,top,26,5,232,77,0.3318965517,R,R,26.54028436,26.14,25,200,74,0.37,L
CHA201909282,mccaj001,5,1,mid,29,5,220,75,0.3409090909,R,R,22.014051522,23.96,25,200,74,0.37,L
DET201908070,jimee001,4,1,mid,22,0,235,76,0.3234042553,R,R,0,,25,200,74,0.37,L
DET201907210,gricr001,4,0,mid,27,5,216,74,0.3425925926,R,R,24.528301887,24.78,25,200,74,0.37,L
TEX201908020,heins001,7,1,bottom,26,0,205,73,0.356097561,R,R,0,,25,200,74,0.37,L
DET201907210,hernt002,7,1,bottom,26,3,205,74,0.3609756098,R,R,23.949579832,24.10,25,200,74,0.37,L
DET201909210,sancc001,8,1,bottom,27,5,205,68,0.3317073171,B,R,24.166666667,24.20,25,200,74,0.37,L
CHA201909282,andet001,2,0,top,26,3,185,73,0.3945945946,R,R,23.985890653,25.77,25,200,74,0.37,L
CHA201909282,sancc001,6,0,mid,27,5,205,68,0.3317073171,B,R,24.166666667,24.20,25,200,74,0.37,L
DET201909160,manct001,2,1,top,27,3,230,76,0.3304347826,R,R,24.226804124,26.78,25,200,74,0.37,L
TEX201908020,kinei001,8,1,bottom,24,1,190,71,0.3736842105,R,R,26.123595506,26.12,25,200,74,0.37,L
CHA201907032,garcl004,1,1,top,28,6,185,68,0.3675675676,B,R,27.131782946,24.13,24,200,74,0.37,L
TEX201908020,pench001,4,1,mid,36,12,216,76,0.3518518519,R,R,22.553191489,27.97,25,200,74,0.37,L
SEA201907270,beckt001,4,1,mid,29,6,205,73,0.356097561,R,R,23.035230352,25.19,25,200,74,0.37,L
SEA201907270,smitm007,1,1,top,26,3,180,70,0.3888888889,L,R,29.583333333,27.68,25,200,74,0.37,L
TEX201908020,calhw001,5,0,mid,24,2,200,68,0.34,L,R,22.222222222,23.31,25,200,74,0.37,L
TEX201908020,choos001,1,0,top,37,14,205,71,0.3463414634,L,L,26.428571429,27.63,25,200,74,0.37,L
CHA201907032,sancc001,7,1,bottom,27,5,205,68,0.3317073171,B,R,24.166666667,24.20,24,200,74,0.37,L
CHA201907032,jay-j001,6,0,mid,34,9,200,71,0.355,L,L,26.755218216,28.54,24,200,74,0.37,L
DET201909210,abrej003,3,1,top,32,5,250,75,0.3,R,R,26.452905812,29.45,25,200,74,0.37,L
DET201909160,villj001,5,1,mid,28,6,233,72,0.3090128755,B,R,25.965665236,25.65,25,200,74,0.37,L
DET201909210,castw002,7,1,bottom,32,9,215,70,0.3255813953,R,R,25.882352941,25.90,25,200,74,0.37,L
TEX201908020,santd001,2,1,top,28,5,195,71,0.3641025641,B,R,17.857142857,25.57,25,200,74,0.37,L
DET201907210,sogae001,1,1,top,33,9,180,70,0.3888888889,L,R,13.402061856,23.78,25,200,74,0.37,L
CHA201908240,andet001,2,1,top,26,3,185,73,0.3945945946,R,R,23.985890653,25.77,22,195,73,0.3743589744,L
TEX201909120,duffm002,6,1,mid,28,5,190,74,0.3894736842,R,R,29.423459245,28.52,22,195,73,0.3743589744,L
BAL201909050,albeh001,1,1,top,26,4,215,71,0.3302325581,R,R,18.518518519,19.23,22,195,73,0.3743589744,L
TEX201908190,ohtas001,3,1,top,25,1,210,76,0.3619047619,L,R,28.527607362,28.53,22,195,73,0.3743589744,L
BAL201909050,martr006,9,1,bottom,24,0,190,71,0.3736842105,R,R,0,,22,195,73,0.3743589744,L
TEX201908190,pujoa001,6,1,mid,39,18,235,75,0.3191489362,R,R,24.516129032,30.23,22,195,73,0.3743589744,L
HOU201909180,brega001,4,1,mid,25,3,192,72,0.375,R,R,28.61952862,28.20,22,195,73,0.3743589744,L
BAL201909050,santa003,3,1,top,24,2,225,74,0.3288888889,B,R,19.801980198,21.37,22,195,73,0.3743589744,L
TEX201908300,crawj002,2,0,top,24,2,199,74,0.3718592965,L,R,21.367521368,21.39,22,195,73,0.3743589744,L
TEX201909250,owinc001,9,1,bottom,28,6,185,70,0.3783783784,R,R,20.640569395,25.00,22,195,73,0.3743589744,L
TEX201908300,fralj001,8,1,bottom,24,0,195,72,0.3692307692,L,L,0,,22,195,73,0.3743589744,L
